title,cue,file_count,scanned_files,scanned_bytes,store_count,mode_values,baud_values,ctrl_values,multipliers,nominal_periods,fixed2x_periods,pair_count,notes
"Formula 1 98 (USA) (En,Fr,De,Es,It,Fi)","Z:\Games\MiSTer\games\PSX\_Link_\Formula 1 98 (USA) (En,Fr,De,Es,It,Fi)\Formula 1 98 (USA) (En,Fr,De,Es,It,Fi).cue",324,4,2068480,78,"0x00ce,0x1050","0x0000,0x00d8","0x0005,0x0009,0x0050",16,3456,6912,4,
Gekisou!! Grand Racing - Total Drivin' (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Gekisou!! Grand Racing - Total Drivin' (Japan)\Gekisou!! Grand Racing - Total Drivin' (Japan).cue,31,1,135168,39,"0x00ce,0x1050","0x0000,0x00d8","0x0001,0x0005,0x0050",16,3456,6912,2,
Independence Day (USA),Z:\Games\MiSTer\games\PSX\_Link_\Independence Day (USA)\Independence Day (USA).cue,242,1,73728,0,,,,,,,0,
"Independence Day - The Game (Europe) (En,Fr,De,Es,It,Sv)","Z:\Games\MiSTer\games\PSX\_Link_\Independence Day - The Game (Europe) (En,Fr,De,Es,It,Sv)\Independence Day - The Game (Europe) (En,Fr,De,Es,It,Sv).cue",241,1,73728,0,,,,,,,0,
Krazy Ivan (USA),Z:\Games\MiSTer\games\PSX\_Link_\Krazy Ivan (USA)\Krazy Ivan (USA).cue,267,1,704512,37,"0x00ce,0x00e9","0x00d8,0x00e9","0x0010,0x0050,0x00e9,0x0100","1,16","233,3456","466,6912",2,
Leading Jockey Highbred (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Leading Jockey Highbred (Japan)\Leading Jockey Highbred (Japan).cue,32,1,1484800,36,"0x00ce,0x00ff","0x00d8,0x00ff","0x0010,0x0050,0x00ff,0x7e94,0x7eb6,0x7eb7","16,64","3456,4080,16320","6912,8160,32640",3,
Metal Jacket (Japan),Z:\Games\MiSTer\games\PSX\_Link_\Metal Jacket (Japan)\Metal Jacket (Japan).cue,143,1,335872,35,"0x0002,0x00ce","0x0002,0x00d8","0x0002,0x0010,0x0050,0x0100",16,"32,3456","64,6912",2,
Mobile Suit Z-Gundam (Japan) (Disc 1),Z:\Games\MiSTer\games\PSX\_Link_\Mobile Suit Z-Gundam (Japan) (Disc 1)\Mobile Suit Z-Gundam (Japan) (Disc 1).cue,693,1,319488,33,0x00ce,,"0x0000,0x0050",,,,0,
Mobile Suit Z-Gundam (Japan) (Disc 2),Z:\Games\MiSTer\games\PSX\_Link_\Mobile Suit Z-Gundam (Japan) (Disc 2)\Mobile Suit Z-Gundam (Japan) (Disc 2).cue,427,1,313344,33,0x00ce,,"0x0000,0x0050",,,,0,
Monaco Grand Prix (USA),Z:\Games\MiSTer\games\PSX\_Link_\Monaco Grand Prix (USA)\Monaco Grand Prix (USA).cue,58,2,200704,0,,,,,,,0,
